member_email,member_name,member_phone,member_address,card_number,card_issued_on,card_expires_on,book_isbn,book_title,publisher_name,author_names,tag_names,copy_barcode,shelf_code,borrowed_at,due_date,returned_at,fine_eur
omar@example.com,Omar,+31689012345,"Rijnkade 19, Utrecht",C-1008,2024-01-30,2027-01-30,9780596517748,JavaScript: The Good Parts,O'Reilly,Douglas Crockford,javascript; beginners,BC-0011,B-03,2025-12-02 08:08,2025-12-23 08:08,2025-12-13 08:08,0.00
tom@example.com,Tom,+31645678901,"Biltstraat 88, Utrecht",C-1004,2023-11-20,2026-11-20,9780596517748,JavaScript: The Good Parts,O'Reilly,Douglas Crockford,javascript; beginners,BC-0013,B-03,2026-01-10 08:51,2026-01-31 08:51,2026-01-25 08:51,0.00
sam@example.com,Sam,+31612345678,"Oudegracht 10, Utrecht",C-1001,2024-01-10,2027-01-10,9780596007126,Head First Design Patterns,O'Reilly,Eric Freeman; Elisabeth Robson,design-patterns; java,BC-0024,A-02,2025-12-21 23:02,2026-01-11 23:02,2026-01-14 23:02,0.75
alex@example.com,Alex,+31623456789,"Lange Viestraat 5, Utrecht",C-1002,2024-02-15,2027-02-15,9780596517748,JavaScript: The Good Parts,O'Reilly,Douglas Crockford,javascript; beginners,BC-0011,B-03,2026-05-02 02:49,2026-05-23 02:49,,0.00
alex@example.com,Alex,+31623456789,"Lange Viestraat 5, Utrecht",C-1002,2024-02-15,2027-02-15,9780321125217,Domain-Driven Design,Addison-Wesley,Eric Evans,software-design; architecture,BC-0020,D-01,2026-05-08 22:34,2026-05-29 22:34,,0.00
priya@example.com,Priya,+31634567890,"Maliebaan 22, Utrecht",C-1003,2024-03-01,2027-03-01,9780134494166,Clean Architecture,Prentice Hall,Robert C. Martin,architecture; best-practices,BC-0030,C-01,2026-02-28 05:49,2026-03-21 05:49,,15.75
sam@example.com,Sam,+31612345678,"Oudegracht 10, Utrecht",C-1001,2024-01-10,2027-01-10,9780132350884,Clean Code,Prentice Hall,Robert C. Martin,best-practices; software-design,BC-0005,C-01,2026-03-22 05:23,2026-04-12 05:23,2026-04-04 05:23,0.00
omar@example.com,Omar,+31689012345,"Rijnkade 19, Utrecht",C-1008,2024-01-30,2027-01-30,9781491950357,Learning Python,O'Reilly,Mark Lutz,python; beginners,BC-0015,C-01,2026-03-14 20:16,2026-04-04 20:16,2026-04-06 20:16,0.50
yuki@example.com,Yuki,+31690123456,"Springweg 2, Utrecht",C-1009,2023-12-08,2026-12-08,9780596009205,Head First Java,O'Reilly,Kathy Sierra; Bert Bates,java; beginners,BC-0003,A-02,2026-02-18 18:15,2026-03-11 18:15,2026-02-23 18:15,0.00
omar@example.com,Omar,+31689012345,"Rijnkade 19, Utrecht",C-1008,2024-01-30,2027-01-30,9780321774620,Continuous Delivery,Addison-Wesley,Jez Humble; David Farley,devops; best-practices,BC-0036,D-01,2026-02-15 11:43,2026-03-08 11:43,2026-03-02 11:43,0.00
alex@example.com,Alex,+31623456789,"Lange Viestraat 5, Utrecht",C-1002,2024-02-15,2027-02-15,9780201633610,Design Patterns,Addison-Wesley,Erich Gamma; Richard Helm; Ralph Johnson; John Vlissides,design-patterns; oop,BC-0009,B-01,2026-03-17 17:29,2026-04-07 17:29,2026-03-23 17:29,0.00
lena@example.com,Lena,+31656789012,"Voorstraat 3, Utrecht",C-1005,2024-04-05,2027-04-05,9780201633610,Design Patterns,Addison-Wesley,Erich Gamma; Richard Helm; Ralph Johnson; John Vlissides,design-patterns; oop,BC-0008,B-01,2026-04-03 11:47,2026-04-24 11:47,2026-04-13 11:47,0.00
sam@example.com,Sam,+31612345678,"Oudegracht 10, Utrecht",C-1001,2024-01-10,2027-01-10,9780201633610,Design Patterns,Addison-Wesley,Erich Gamma; Richard Helm; Ralph Johnson; John Vlissides,design-patterns; oop,BC-0007,B-01,2026-04-26 09:59,2026-05-17 09:59,2026-05-07 09:59,0.00
yuki@example.com,Yuki,+31690123456,"Springweg 2, Utrecht",C-1009,2023-12-08,2026-12-08,9781491950357,Learning Python,O'Reilly,Mark Lutz,python; beginners,BC-0014,C-01,2026-04-01 10:42,2026-04-22 10:42,2026-04-05 10:42,0.00
sam@example.com,Sam,+31612345678,"Oudegracht 10, Utrecht",C-1001,2024-01-10,2027-01-10,9781617294945,Spring in Action,Manning,Craig Walls,java; spring; frameworks,BC-0026,D-01,2026-01-10 13:15,2026-01-31 13:15,,28.00
omar@example.com,Omar,+31689012345,"Rijnkade 19, Utrecht",C-1008,2024-01-30,2027-01-30,9780132181815,The Clean Coder,Prentice Hall,Robert C. Martin,best-practices; career,BC-0029,D-01,2026-03-16 11:54,2026-04-06 11:54,2026-04-15 11:54,2.25
chen@example.com,Chen,+31601234567,"Wittevrouwenstraat 31, Utrecht",C-1010,2024-06-01,2027-06-01,9780321774620,Continuous Delivery,Addison-Wesley,Jez Humble; David Farley,devops; best-practices,BC-0037,D-01,2026-03-11 01:13,2026-04-01 01:13,2026-03-27 01:13,0.00
james@example.com,James,+31667890123,"Catharijnesingel 14, Utrecht",C-1006,2023-09-12,2026-09-12,9781491950357,Learning Python,O'Reilly,Mark Lutz,python; beginners,BC-0016,C-01,2026-03-21 05:22,2026-04-11 05:22,2026-04-02 05:22,0.00
nina@example.com,Nina,+31678901234,"Nobelstraat 7, Utrecht",C-1007,2024-05-22,2027-05-22,9780137081073,The Pragmatic Programmer,Addison-Wesley,David Thomas; Andrew Hunt,best-practices; career,BC-0019,C-01,2025-12-02 14:01,2025-12-23 14:01,,37.75
priya@example.com,Priya,+31634567890,"Maliebaan 22, Utrecht",C-1003,2024-03-01,2027-03-01,9781617294945,Spring in Action,Manning,Craig Walls,java; spring; frameworks,BC-0025,D-01,2026-01-15 13:38,2026-02-05 13:38,2026-01-18 13:38,0.00
tom@example.com,Tom,+31645678901,"Biltstraat 88, Utrecht",C-1004,2023-11-20,2026-11-20,9780137081073,The Pragmatic Programmer,Addison-Wesley,David Thomas; Andrew Hunt,best-practices; career,BC-0018,C-01,2026-02-23 11:30,2026-03-16 11:30,2026-03-05 11:30,0.00
alex@example.com,Alex,+31623456789,"Lange Viestraat 5, Utrecht",C-1002,2024-02-15,2027-02-15,9780596009205,Head First Java,O'Reilly,Kathy Sierra; Bert Bates,java; beginners,BC-0004,A-02,2026-03-30 21:11,2026-04-20 21:11,2026-04-08 21:11,0.00
nina@example.com,Nina,+31678901234,"Nobelstraat 7, Utrecht",C-1007,2024-05-22,2027-05-22,9780201633610,Design Patterns,Addison-Wesley,Erich Gamma; Richard Helm; Ralph Johnson; John Vlissides,design-patterns; oop,BC-0009,B-01,2026-01-28 05:02,2026-02-18 05:02,2026-02-07 05:02,0.00
priya@example.com,Priya,+31634567890,"Maliebaan 22, Utrecht",C-1003,2024-03-01,2027-03-01,9780201633610,Design Patterns,Addison-Wesley,Erich Gamma; Richard Helm; Ralph Johnson; John Vlissides,design-patterns; oop,BC-0009,B-01,2026-05-19 23:46,2026-06-09 23:46,2026-06-05 23:46,0.00
priya@example.com,Priya,+31634567890,"Maliebaan 22, Utrecht",C-1003,2024-03-01,2027-03-01,9780321125217,Domain-Driven Design,Addison-Wesley,Eric Evans,software-design; architecture,BC-0021,D-01,2026-03-31 18:59,2026-04-21 18:59,2026-04-29 18:59,2.00
lena@example.com,Lena,+31656789012,"Voorstraat 3, Utrecht",C-1005,2024-04-05,2027-04-05,9780134494166,Clean Architecture,Prentice Hall,Robert C. Martin,architecture; best-practices,BC-0032,C-01,2026-05-12 04:26,2026-06-02 04:26,,0.00
sam@example.com,Sam,+31612345678,"Oudegracht 10, Utrecht",C-1001,2024-01-10,2027-01-10,9780321774620,Continuous Delivery,Addison-Wesley,Jez Humble; David Farley,devops; best-practices,BC-0036,D-01,2025-12-15 01:01,2026-01-05 01:01,2026-01-04 01:01,0.00
lena@example.com,Lena,+31656789012,"Voorstraat 3, Utrecht",C-1005,2024-04-05,2027-04-05,9780132181815,The Clean Coder,Prentice Hall,Robert C. Martin,best-practices; career,BC-0028,D-01,2025-12-14 19:38,2026-01-04 19:38,2025-12-17 19:38,0.00
yuki@example.com,Yuki,+31690123456,"Springweg 2, Utrecht",C-1009,2023-12-08,2026-12-08,9780132181815,The Clean Coder,Prentice Hall,Robert C. Martin,best-practices; career,BC-0029,D-01,2026-05-17 21:26,2026-06-07 21:26,2026-06-12 21:26,1.25
yuki@example.com,Yuki,+31690123456,"Springweg 2, Utrecht",C-1009,2023-12-08,2026-12-08,9780596009205,Head First Java,O'Reilly,Kathy Sierra; Bert Bates,java; beginners,BC-0003,A-02,2026-05-18 04:02,2026-06-08 04:02,,0.00
james@example.com,James,+31667890123,"Catharijnesingel 14, Utrecht",C-1006,2023-09-12,2026-09-12,9780321774620,Continuous Delivery,Addison-Wesley,Jez Humble; David Farley,devops; best-practices,BC-0037,D-01,2026-01-12 18:47,2026-02-02 18:47,2026-01-25 18:47,0.00
tom@example.com,Tom,+31645678901,"Biltstraat 88, Utrecht",C-1004,2023-11-20,2026-11-20,9781617294945,Spring in Action,Manning,Craig Walls,java; spring; frameworks,BC-0025,D-01,2025-12-08 13:07,2025-12-29 13:07,2025-12-18 13:07,0.00
chen@example.com,Chen,+31601234567,"Wittevrouwenstraat 31, Utrecht",C-1010,2024-06-01,2027-06-01,9780132181815,The Clean Coder,Prentice Hall,Robert C. Martin,best-practices; career,BC-0028,D-01,2026-02-16 01:36,2026-03-09 01:36,2026-03-06 01:36,0.00
priya@example.com,Priya,+31634567890,"Maliebaan 22, Utrecht",C-1003,2024-03-01,2027-03-01,9780321774620,Continuous Delivery,Addison-Wesley,Jez Humble; David Farley,devops; best-practices,BC-0039,D-01,2026-02-16 14:32,2026-03-09 14:32,2026-02-24 14:32,0.00
priya@example.com,Priya,+31634567890,"Maliebaan 22, Utrecht",C-1003,2024-03-01,2027-03-01,9781491950357,Learning Python,O'Reilly,Mark Lutz,python; beginners,BC-0017,C-01,2025-12-11 06:06,2026-01-01 06:06,2026-01-06 06:06,1.25
chen@example.com,Chen,+31601234567,"Wittevrouwenstraat 31, Utrecht",C-1010,2024-06-01,2027-06-01,9780201485677,Refactoring,Addison-Wesley,Martin Fowler,best-practices; java,BC-0040,B-01,2025-12-08 23:42,2025-12-29 23:42,,36.00
lena@example.com,Lena,+31656789012,"Voorstraat 3, Utrecht",C-1005,2024-04-05,2027-04-05,9780321774620,Continuous Delivery,Addison-Wesley,Jez Humble; David Farley,devops; best-practices,BC-0036,D-01,2026-01-30 12:56,2026-02-20 12:56,2026-02-07 12:56,0.00
priya@example.com,Priya,+31634567890,"Maliebaan 22, Utrecht",C-1003,2024-03-01,2027-03-01,9780321774620,Continuous Delivery,Addison-Wesley,Jez Humble; David Farley,devops; best-practices,BC-0036,D-01,2026-04-14 05:24,2026-05-05 05:24,2026-04-24 05:24,0.00
priya@example.com,Priya,+31634567890,"Maliebaan 22, Utrecht",C-1003,2024-03-01,2027-03-01,9780321774620,Continuous Delivery,Addison-Wesley,Jez Humble; David Farley,devops; best-practices,BC-0038,D-01,2026-01-26 22:43,2026-02-16 22:43,2026-02-19 22:43,0.75
priya@example.com,Priya,+31634567890,"Maliebaan 22, Utrecht",C-1003,2024-03-01,2027-03-01,9780134494166,Clean Architecture,Prentice Hall,Robert C. Martin,architecture; best-practices,BC-0033,C-01,2026-03-23 13:30,2026-04-13 13:30,2026-03-29 13:30,0.00
james@example.com,James,+31667890123,"Catharijnesingel 14, Utrecht",C-1006,2023-09-12,2026-09-12,9780321774620,Continuous Delivery,Addison-Wesley,Jez Humble; David Farley,devops; best-practices,BC-0037,D-01,2026-05-08 01:26,2026-05-29 01:26,2026-05-27 01:26,0.00
omar@example.com,Omar,+31689012345,"Rijnkade 19, Utrecht",C-1008,2024-01-30,2027-01-30,9781492056300,Designing Data-Intensive Applications,O'Reilly,Martin Kleppmann,databases; architecture; distributed-systems,BC-0035,A-02,2026-02-22 13:03,2026-03-15 13:03,2026-02-28 13:03,0.00
yuki@example.com,Yuki,+31690123456,"Springweg 2, Utrecht",C-1009,2023-12-08,2026-12-08,9781617294945,Spring in Action,Manning,Craig Walls,java; spring; frameworks,BC-0027,D-01,2026-03-02 23:32,2026-03-23 23:32,2026-03-07 23:32,0.00
nina@example.com,Nina,+31678901234,"Nobelstraat 7, Utrecht",C-1007,2024-05-22,2027-05-22,9780596007126,Head First Design Patterns,O'Reilly,Eric Freeman; Elisabeth Robson,design-patterns; java,BC-0024,A-02,2026-03-31 21:47,2026-04-21 21:47,2026-04-12 21:47,0.00
nina@example.com,Nina,+31678901234,"Nobelstraat 7, Utrecht",C-1007,2024-05-22,2027-05-22,9780201633610,Design Patterns,Addison-Wesley,Erich Gamma; Richard Helm; Ralph Johnson; John Vlissides,design-patterns; oop,BC-0008,B-01,2026-02-10 21:05,2026-03-03 21:05,2026-02-14 21:05,0.00
alex@example.com,Alex,+31623456789,"Lange Viestraat 5, Utrecht",C-1002,2024-02-15,2027-02-15,9780321774620,Continuous Delivery,Addison-Wesley,Jez Humble; David Farley,devops; best-practices,BC-0038,D-01,2025-12-28 09:32,2026-01-18 09:32,2026-01-05 09:32,0.00
omar@example.com,Omar,+31689012345,"Rijnkade 19, Utrecht",C-1008,2024-01-30,2027-01-30,9780134685991,Effective Java,Addison-Wesley,Joshua Bloch,java; best-practices,BC-0001,B-02,2026-04-09 15:44,2026-04-30 15:44,2026-04-23 15:44,0.00
chen@example.com,Chen,+31601234567,"Wittevrouwenstraat 31, Utrecht",C-1010,2024-06-01,2027-06-01,9780321125217,Domain-Driven Design,Addison-Wesley,Eric Evans,software-design; architecture,BC-0022,D-01,2025-12-16 16:13,2026-01-06 16:13,2025-12-26 16:13,0.00
nina@example.com,Nina,+31678901234,"Nobelstraat 7, Utrecht",C-1007,2024-05-22,2027-05-22,9780132350884,Clean Code,Prentice Hall,Robert C. Martin,best-practices; software-design,BC-0005,C-01,2025-11-29 17:06,2025-12-20 17:06,2025-12-13 17:06,0.00
lena@example.com,Lena,+31656789012,"Voorstraat 3, Utrecht",C-1005,2024-04-05,2027-04-05,9780132181815,The Clean Coder,Prentice Hall,Robert C. Martin,best-practices; career,BC-0029,D-01,2026-04-22 04:05,2026-05-13 04:05,2026-05-08 04:05,0.00
omar@example.com,Omar,+31689012345,"Rijnkade 19, Utrecht",C-1008,2024-01-30,2027-01-30,9781491950357,Learning Python,O'Reilly,Mark Lutz,python; beginners,BC-0016,C-01,2026-04-05 10:05,2026-04-26 10:05,,6.75
chen@example.com,Chen,+31601234567,"Wittevrouwenstraat 31, Utrecht",C-1010,2024-06-01,2027-06-01,9781491950357,Learning Python,O'Reilly,Mark Lutz,python; beginners,BC-0015,C-01,2026-01-10 16:55,2026-01-31 16:55,2026-01-29 16:55,0.00
priya@example.com,Priya,+31634567890,"Maliebaan 22, Utrecht",C-1003,2024-03-01,2027-03-01,9780134494166,Clean Architecture,Prentice Hall,Robert C. Martin,architecture; best-practices,BC-0033,C-01,2026-04-28 13:17,2026-05-19 13:17,2026-05-10 13:17,0.00
james@example.com,James,+31667890123,"Catharijnesingel 14, Utrecht",C-1006,2023-09-12,2026-09-12,9780201485677,Refactoring,Addison-Wesley,Martin Fowler,best-practices; java,BC-0041,B-01,2026-04-12 19:39,2026-05-03 19:39,2026-04-18 19:39,0.00
omar@example.com,Omar,+31689012345,"Rijnkade 19, Utrecht",C-1008,2024-01-30,2027-01-30,9780596517748,JavaScript: The Good Parts,O'Reilly,Douglas Crockford,javascript; beginners,BC-0012,B-03,2026-04-18 09:31,2026-05-09 09:31,2026-04-28 09:31,0.00
alex@example.com,Alex,+31623456789,"Lange Viestraat 5, Utrecht",C-1002,2024-02-15,2027-02-15,9780132350884,Clean Code,Prentice Hall,Robert C. Martin,best-practices; software-design,BC-0006,C-01,2026-03-20 04:12,2026-04-10 04:12,2026-04-19 04:12,2.25
omar@example.com,Omar,+31689012345,"Rijnkade 19, Utrecht",C-1008,2024-01-30,2027-01-30,9780321125217,Domain-Driven Design,Addison-Wesley,Eric Evans,software-design; architecture,BC-0020,D-01,2026-03-17 03:57,2026-04-07 03:57,2026-04-02 03:57,0.00
omar@example.com,Omar,+31689012345,"Rijnkade 19, Utrecht",C-1008,2024-01-30,2027-01-30,9780596517748,JavaScript: The Good Parts,O'Reilly,Douglas Crockford,javascript; beginners,BC-0011,B-03,2026-03-17 02:55,2026-04-07 02:55,2026-03-27 02:55,0.00
nina@example.com,Nina,+31678901234,"Nobelstraat 7, Utrecht",C-1007,2024-05-22,2027-05-22,9780596517748,JavaScript: The Good Parts,O'Reilly,Douglas Crockford,javascript; beginners,BC-0012,B-03,2026-03-15 23:11,2026-04-05 23:11,2026-04-11 23:11,1.50
nina@example.com,Nina,+31678901234,"Nobelstraat 7, Utrecht",C-1007,2024-05-22,2027-05-22,9780201633610,Design Patterns,Addison-Wesley,Erich Gamma; Richard Helm; Ralph Johnson; John Vlissides,design-patterns; oop,BC-0010,B-01,2026-01-14 09:15,2026-02-04 09:15,,27.00
